Airport_ID,Airport_Code
1,GJT
2,HRL
3,DRO
4,IAH
5,DEN
6,TYS
7,MOB
8,LNK
9,BHM
10,IAD
11,ECP
12,AEX
13,LFT
14,BTR
15,ABQ
16,BUF
17,ALB
18,HSV
19,TUL
20,CPR
21,CRP
22,EWR
23,DCA
24,STL
25,CVG
26,RIC
27,PVD
28,CLT
29,GSO
30,ERI
31,ORD
32,LEX
33,ABE
34,CAK
35,AVL
36,DAY
37,CHO
38,ROA
39,PWM
40,LIT
41,MKE
42,BTV
43,OMA
44,GRB
45,MLI
46,SDF
47,FNT
48,CHS
49,PIT
50,TVC
51,ATW
52,DLH
53,ROC
54,SPI
55,HPN
56,MBS
57,CID
58,MYR
59,CAE
60,SGF
61,AVP
62,GRR
63,DSM
64,CLE
65,PIA
66,MSN
67,MDT
68,SBN
69,MEM
70,ICT
71,SHV
72,XNA
73,DIK
74,GPT
75,PNS
76,LRD
77,LCH
78,MFE
79,FLG
80,BRO
81,SAF
82,PQI
83,ORF
84,LGA
85,SYR
86,RDU
87,ILM
88,IND
89,PHL
90,CMH
91,SCE
92,ITH
93,JAX
94,OKC
95,JAN
96,GSP
97,TXK
98,ELP
99,MAF
100,AUS
101,IDA
102,BNA
103,SAV
104,AMA
105,ATL
106,BDL
107,BLI
108,BOI
109,BOS
110,BUR
111,BWI
112,BZN
113,COS
114,DAL
115,DTW
116,EUG
117,FAT
118,FLL
119,GEG
120,HDN
121,HNL
122,HOU
123,ISP
124,ITO
125,KOA
126,LAS
127,LAX
128,LBB
129,LGB
130,LIH
131,MCI
132,MCO
133,MDW
134,MHT
135,MIA
136,MSP
137,MSY
138,MTJ
139,OAK
140,OGG
141,ONT
142,PBI
143,PDX
144,PHX
145,PSP
146,RNO
147,RSW
148,SAN
149,SAT
150,SBA
151,SEA
152,SFO
153,SJC
154,SJU
155,SLC
156,SMF
157,SNA
158,SRQ
159,TPA
160,TUS
161,VPS
162,DFW
163,HHH
164,BFL
165,FAR
166,YUM
167,MLB
168,FSD
169,MRY
170,BMI
171,RAP
172,DAB
173,FAY
174,GNV
175,MGM
176,STS
177,TLH
178,MFR
179,JFK
180,AGS
181,EYW
182,ORH
183,BGR
184,CHA
185,CRW
186,BQK
187,OAJ
188,LAN
189,AZO
190,DHN
191,TRI
192,BIS
193,VLD
194,ABY
195,GTR
196,MLU
197,MOT
198,RST
199,CWA
200,CSG
201,EVV
202,GFK
203,FWA
204,BGM
205,STT
206,EGE
207,JAC
208,MSO
209,STX
210,GUC
211,PHF
212,PGV
213,ART
214,HTS
215,LYH
216,FLO
217,SBY
218,ADQ
219,ANC
220,BET
221,BRW
222,SCC
223,JNU
224,KTN
225,CDV
226,YAK
227,FAI
228,SIT
229,PSG
230,WRG
231,OME
232,OTZ
233,PAE
234,ADK
235,BQN
236,PSE
237,BIL
238,FCA
239,TTN
240,ILG
241,SWF
242,USA
243,SFB
244,PIE
245,AZA
246,RFD
247,GRI
248,PBG
249,PGD
250,PVU
251,TOL
252,BLV
253,LCK
254,ELM
255,PSM
256,SCK
257,IAG
258,PSC
259,CKB
260,STC
261,HGR
262,OWB
263,SMX
264,GTF
265,RDM
266,OGD
267,PPG
268,GCK
269,ACT
270,ALO
271,LAW
272,GGG
273,COU
274,SPS
275,ABI
276,CMI
277,DRT
278,FSM
279,LSE
280,TYR
281,GRK
282,DBQ
283,BPT
284,MHK
285,SJT
286,SWO
287,MQT
288,SBP
289,CLL
290,ACY
291,LBE
292,EWN
293,ROW
294,SGU
295,ACV
296,ASE
297,XWA
298,HLN
299,OTH
300,SLN
301,LWS
302,HOB
303,HYS
304,ALS
305,CNY
306,RKS
307,DVL
308,JMS
309,PAH
310,PRC
311,RIW
312,BFF
313,DDC
314,SUX
315,CMX
316,MEI
317,JLN
318,EAU
319,GCC
320,SHR
321,TBN
322,FOD
323,LAR
324,VEL
325,OGS
326,PUB
327,VCT
328,DEC
329,CYS
330,LBF
331,JST
332,MCW
333,RDD
334,SHD
335,CGI
336,EAR
337,MKG
338,LWB
339,LBL
340,COD
341,PIB
342,BTM
343,SUN
344,IMT
345,RHI
346,ESC
347,APN
348,ABR
349,PLN
350,INL
351,BRD
352,HIB
353,CIU
354,PIH
355,TWF
356,EKO
357,BJI
358,CDC
359,YKM
360,PUW
361,ALW
362,EAT
363,DLG
364,AKN
365,GUM
366,SPN
367,BIH
368,WYS
369,ACK
370,BKG
371,GST
372,MVY
373,HYA
374,PIR
375,ATY
