iter	Passed	Remaining
0	847	846389
1	1601	798967
2	2053	682369
3	2393	595896
4	2772	551638
5	3162	523937
6	3496	496053
7	3941	488761
8	4305	474100
9	4927	487788
10	5439	489101
11	5935	488709
12	6350	482167
13	6730	474041
14	7203	473030
15	7812	480449
16	8167	472279
17	8702	474758
18	9250	477612
19	9940	487107
20	10377	483769
21	10709	476073
22	11122	472461
23	11729	477019
24	12102	472014
25	12494	468066
26	13045	470137
27	13758	477621
28	14231	476522
29	14608	472327
30	15075	471236
31	16005	484154
32	16613	486823
33	17178	488077
34	17724	488676
35	18448	494014
36	19236	500662
37	19898	503739
38	20517	505560
39	20951	502831
40	21583	504854
41	22235	507192
42	22754	506421
43	23224	504602
44	23552	499834
45	24168	501241
46	24755	501955
47	25248	500768
48	25895	502581
49	26419	501979
50	26945	501402
51	27331	498275
52	27750	495840
53	28088	492076
54	28663	492489
55	29217	492516
56	29768	492480
57	30434	494306
58	31086	495797
59	31824	498577
60	32484	500049
61	33236	502836
62	34040	506281
63	34573	505633
64	35230	506782
65	35943	508654
66	36593	509581
67	37142	509073
68	37672	508301
69	38206	507594
70	38821	507966
71	39258	505994
72	39766	504978
73	40263	503841
74	40807	503288
75	41334	502545
76	41922	502525
77	42429	501541
78	43138	502914
79	43718	502761
80	44122	500599
81	44641	499761
82	45186	499230
83	45793	499366
84	46385	499323
85	46906	498518
86	47389	497318
87	48039	497863
88	48483	496278
89	48897	494412
90	49383	493291
91	49955	493038
92	50461	492137
93	50951	491086
94	51545	491034
95	52266	492178
96	52943	492867
97	53342	490966
98	53833	489942
99	54405	489646
100	54976	489345
101	55432	488027
102	55802	485965
103	56252	484632
104	56721	483481
105	57302	483283
106	57900	483225
107	58421	482514
108	58945	481840
109	59425	480805
110	59913	479851
111	60490	479606
112	61041	479147
113	61576	478568
114	62142	478224
115	62660	477518
116	63177	476798
117	63428	474101
118	63952	473461
119	64440	472561
120	65106	472965
121	65642	472412
122	66213	472110
123	66747	471539
124	67364	471553
125	67886	470892
126	68355	469878
127	69182	471307
128	69866	471735
129	70334	470703
130	70931	470531
131	71565	470598
132	72073	469831
